Vensim	Vensim example	Xmile	Xmile example	Abstract Syntax	Python Translation	Comments
Binary operators
^	A ^ B	^	A ^ B	"ArithmeticStructure(['^'], (A, B))"	A**B
*	A * B	*	A * B	"ArithmeticStructure(['*'], (A, B))"	A*B
/	A / B	/	A / B	"ArithmeticStructure(['/'], (A, B))"	A/B
		mod	A mod B	"CallStructure('modulo', (A, B))"	"pysd.functions.modulo(A, B)"	In Vensim the modulo is computed with a function and not an operator
+	A + B	+	A + B	"ArithmeticStructure(['+'], (A, B))"	A+B
-	A - B	-	A - B	"ArithmeticStructure(['-'], (A, B))"	A-B
=	A = B	=	A = B	"LogicStructure(['='], (A, B))"	A == B
<	A < B	<	A < B	"LogicStructure(['<'], (A, B))"	A < B
>	A > B	>	A > B	"LogicStructure(['>'], (A, B))"	A > B
>=	A >= B	>=	A >= B	"LogicStructure(['>='], (A, B))"	A >= B
<=	A <= B	<=	A <= B	"LogicStructure(['<='], (A, B))"	A <= B
:AND:	A :AND: B	and	A and B	"LogicStructure[':AND:'], (A, B))"	"numpy.and(A, B)"
:OR:	A :OR: B	or	A or B	"LogicStructure[':OR:'], (A, B))"	"numpy.or(A, B)"

Unary operators
-	#NAME?	-	#NAME?	"LogicStructure(['negative'], (A,))"	#NAME?
+	#NAME?	+	#NAME?	A	A
:NOT:	:NOT: A	not	not A	"LogicStructure[':NOT:'], (A,))"	numpy.not(A)

Functions
ABS	ABS(A)	abs(A)	abs(A)	"CallStructure('abs', (A,))"	numpy.abs(A)
MIN	"MIN(A, B)"	min	"min(A, B)"	"CallStructure('min', (A, B))"	"numpy.minimum(A, B)"
MAX	"MAX(A, B)"	max	"max(A, B)"	"CallStructure('max', (A, B))"	"numpy.maximum(A, B)"
SQRT	SQRT(A)	sqrt	sqrt(A)	"CallStructure('sqrt', (A,))"	numpy.sqrt
EXP	EXP(A)	exp	exp(A)	"CallStructure('exp', (A,))"	numpy.exp(A)
LN	LN(A)	ln	ln(A)	"CallStructure('ln', (A,))"	numpy.log(A)
SIN	SIN(A)	sin	sin(A)	"CallStructure('sin', (A,))"	numpy.sin(A)
COS	COS(A)	cos	cos(A)	"CallStructure('cos', (A,))"	numpy.cos(A)
TAN	TAN(A)	tan	tan(A)	"CallStructure('tan', (A,))"	numpy.tan(A)
